City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
145,Svetlaya,46.5389,138.3297,65.71,99,100,4.36,RU,2022-08-05 02:44:21
146,Yellowknife,62.456,-114.3525,61.32,67,75,3.44,CA,2022-08-05 02:44:21
147,Saint-Leu,-21.15,55.2833,66.31,76,91,1.88,RE,2022-08-05 02:44:22
148,Pitimbu,-7.4706,-34.8086,72.19,83,73,12.91,BR,2022-08-05 02:44:22
149,Miri,4.4148,114.0089,82.54,83,40,6.91,MY,2022-08-05 02:44:22
150,Manbij,36.5281,37.9549,79.48,54,0,10.18,SY,2022-08-05 02:44:23
151,Ust-Ilimsk,58.0006,102.6619,57.6,80,81,7.14,RU,2022-08-05 02:44:23
152,Saint-Francois,46.4154,3.9054,63.84,88,0,1.14,FR,2022-08-05 02:44:10
153,Maltahohe,-24.8333,16.9833,47.97,45,1,5.19,NA,2022-08-05 02:44:24
154,Omboue,-1.5746,9.2618,71.02,83,79,8.66,GA,2022-08-05 02:44:24
155,Aguimes,27.9054,-15.4461,68.67,78,20,31.07,ES,2022-08-05 02:44:25
156,Guerrero Negro,27.9769,-114.0611,70.75,84,0,17.76,MX,2022-08-05 02:44:25
157,Ribeira Grande,38.5167,-28.7,75.16,87,11,4.52,PT,2022-08-05 02:44:26
158,Cardston,49.2,-113.3019,73.69,24,0,10.36,CA,2022-08-05 02:44:26
159,Bara,10.3744,10.7288,71.33,82,67,4.52,NG,2022-08-05 02:44:26
160,Ostersund,63.1792,14.6357,50.61,93,75,12.66,SE,2022-08-05 02:44:21
161,Huaidian,33.4333,115.0333,94.57,56,0,10.63,CN,2022-08-05 02:44:27
162,Solnechnyy,50.7214,136.6319,73.36,65,100,4.94,RU,2022-08-05 02:44:27
163,Atar,20.5169,-13.0499,84.24,51,0,10.45,MR,2022-08-05 02:44:27
164,Kavieng,-2.5744,150.7967,83.91,72,100,8.99,PG,2022-08-05 02:44:28
165,Barranca,-10.75,-77.7667,61.11,82,81,6.4,PE,2022-08-05 02:44:28
166,Fort-Shevchenko,44.5086,50.263,81.28,64,0,8.72,KZ,2022-08-05 02:44:29
167,Luderitz,-26.6481,15.1594,55.63,75,37,8.41,NA,2022-08-05 02:44:29
168,Whitehorse,60.7161,-135.0538,65.01,67,75,12.66,CA,2022-08-05 02:39:52
169,Khasan,42.4308,130.6434,77.27,87,100,7.92,RU,2022-08-05 02:44:29
170,Kefamenanu,-9.4467,124.4781,84.78,46,8,4.23,ID,2022-08-05 02:44:30
171,Kijang,35.2442,129.2139,91.13,63,20,9.13,KR,2022-08-05 02:44:30
172,Upington,-28.4478,21.2561,46.78,93,0,3.44,ZA,2022-08-05 02:44:30
173,Cayenne,4.9333,-52.3333,82.09,1,0,1.99,GF,2022-08-05 02:44:31
174,Namibe,-15.1961,12.1522,60.78,77,0,7.02,AO,2022-08-05 02:44:31
175,Saint George,37.1041,-113.5841,84.79,61,40,11.5,US,2022-08-05 02:41:02
176,Vao,-22.6667,167.4833,72.1,78,17,10.51,NC,2022-08-05 02:44:32
177,Bengkulu,-3.8004,102.2655,81.37,69,99,1.59,ID,2022-08-05 02:44:32
178,Airai,-8.9266,125.4092,74.53,47,78,2.59,TL,2022-08-05 02:45:33
179,Nalut,30.3333,10.85,78.19,51,0,17.27,LY,2022-08-05 02:45:33
180,Vitim,59.4511,112.5578,60.22,62,100,3.09,RU,2022-08-05 02:45:34
181,Ciudad Guayana,8.3533,-62.6528,75.52,97,100,2.82,VE,2022-08-05 02:45:34
