City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
420,Korcula,HR,78.49,clear sky,42.9622,17.1369,Marko Polo Hotel by Aminess
421,Mahibadhoo,MV,82.29,overcast clouds,3.7833,72.9667,Omadhoo Inn
425,Gewane,ET,79.68,broken clouds,10.1664,40.6453,እንደገና ገዋኔ ሞቴል
426,Hambantota,LK,82.62,overcast clouds,6.1241,81.1185,Bungalow 63
427,Wajima,JP,84.31,overcast clouds,37.4,136.9,Wajiima Onsen Yashio
428,Dubovskoye,RU,76.8,overcast clouds,47.4092,42.7575,Anzhi
429,Lufilufi,WS,81.01,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
430,Bengkulu,ID,83.12,clear sky,-3.8004,102.2655,Grage Hotel Bengkulu
431,Esso,RU,75.11,few clouds,55.9333,158.7,Paramushir Tur
432,Estelle,US,81.0,few clouds,29.8458,-90.1067,Ohio
433,Pa Sang,TH,86.02,overcast clouds,18.5262,98.9394,โรงแรม จามจุรี 99
434,Neyshabur,IR,77.34,clear sky,36.2133,58.7958,Amiran Hotel & Commercial Complex
436,Sorong,ID,80.51,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
441,Komsomolskiy,UZ,88.68,clear sky,40.4272,71.7189,Ikathouse
444,Buala,SB,86.07,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
445,Yangliuqing,CN,87.75,broken clouds,39.1375,116.9997,如庭快捷酒店
446,Yankton,US,82.65,clear sky,42.8711,-97.3973,"Holiday Inn Express & Suites Yankton, an IHG Hotel"
449,Jalu,LY,78.15,clear sky,29.0331,21.5482,صاحبة الفخامة
458,Xining,CN,78.8,scattered clouds,36.6167,101.7667,Super Leisure Hotel
468,Padang,ID,84.25,few clouds,-0.9492,100.3543,Mercure Padang
472,La Palma,US,83.34,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
474,Ledyard,US,78.19,clear sky,41.4398,-72.0142,Stonecroft Country Inn
475,Salalah,OM,77.09,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
478,Port Moresby,PG,82.51,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
484,Ahmadpur,IN,75.72,overcast clouds,18.7,76.9333,Satish suryawanshi niwas
488,Badhni Kalan,IN,86.99,scattered clouds,30.6833,75.2833,Dana patti Dharamshala
489,Fomboni,KM,75.69,few clouds,-12.28,43.7425,Auberge les abou
490,Ugoofaaru,MV,80.94,overcast clouds,5.6667,73.0,Ungoofaaru Inn
494,Charleston,US,82.02,clear sky,32.7766,-79.9309,The Mills House Wyndham Grand Hotel
495,Ahuimanu,US,83.91,broken clouds,21.4447,-157.8378,Paradise Bay Resort
499,Pangkalanbuun,ID,89.33,broken clouds,-2.6833,111.6167,Grand Kecubung Hotel
500,Frontera,MX,87.12,clear sky,26.9333,-101.45,Fiesta Inn Monclova
502,Tateyama,JP,78.17,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
506,Gunjur,GM,78.66,light rain,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
509,Nuevo Laredo,MX,88.07,clear sky,27.4763,-99.5164,City Express Nuevo Laredo
511,Ankola,IN,78.66,light rain,14.6667,74.3,Hotel Kamat Plus
513,Carutapera,BR,75.4,clear sky,-1.195,-46.02,Lidera
525,Novo Aripuana,BR,75.38,few clouds,-5.1206,-60.3797,Hotel Ezequiel
527,Kalmunai,LK,85.77,overcast clouds,7.4167,81.8167,VS Villa
528,Chiang Klang,TH,76.14,overcast clouds,19.2938,100.8617,Sangthong Resort
531,Itarema,BR,76.01,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
532,Mackay,AU,82.69,clear sky,-21.15,149.2,International Lodge Motel
539,Sur,OM,89.94,overcast clouds,22.5667,59.5289,Sur Plaza Hotel
548,Jam Sahib,PK,82.42,overcast clouds,26.2958,68.6292,Al Madina
549,Tharad,IN,86.5,overcast clouds,24.3961,71.6267,Suresh Parmar
554,Lubu,CN,88.68,broken clouds,23.1742,112.2809,Classic View Hotel
557,Sampit,ID,87.51,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
559,Diffa,NE,77.58,scattered clouds,13.3154,12.6113,ProDAF/Diffa
560,Kutum,SD,75.79,overcast clouds,14.2,24.6667,Dibbo areaمنطقة دبو
564,Trincomalee,LK,82.83,overcast clouds,8.5711,81.2335,Welcombe Hotel
566,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
570,Luorong,CN,86.23,overcast clouds,24.4058,109.6086,荣立大酒店
572,Barra,BR,75.74,scattered clouds,-11.0894,-43.1417,Pousada Bahia
573,Pontes E Lacerda,BR,75.24,overcast clouds,-15.2261,-59.3353,Hotel Bressan
575,Laguna,US,81.45,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
578,Hulan Ergi,CN,84.83,broken clouds,47.2042,123.6333,Qiqihaer Zhongtian Hotel
582,Shangzhi,CN,82.53,clear sky,45.2167,127.9667,Ocean Zhixing Business Clubhouse
583,Codajas,BR,75.83,scattered clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
588,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
590,Bubaque,GW,79.29,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
591,Westerly,US,78.66,clear sky,41.3776,-71.8273,La Quinta Inn & Suites by Wyndham Stonington-Mystic Area
592,Manggar,ID,83.35,overcast clouds,-2.8833,108.2667,Guest Hotel
