City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
315,Vila,PT,42.0304,-8.1588,56.28,87,52,4.32,broken clouds
316,Iqaluit,CA,63.7506,-68.5145,43.7,93,100,1.99,overcast clouds
317,Road Town,VG,18.4167,-64.6167,82.49,76,42,21.7,scattered clouds
318,Uyemskiy,RU,64.4743,40.8524,71.06,68,0,4.47,clear sky
319,Ibotirama,BR,-12.1853,-43.2206,74.73,52,37,3.8,scattered clouds
320,Santa Cruz Del Norte,CU,23.1539,-81.9236,80.28,82,69,16.2,broken clouds
321,Tigil,RU,57.8,158.6667,69.01,56,48,6.96,scattered clouds
322,Sinnamary,GF,5.3833,-52.95,77.23,83,3,9.35,clear sky
323,Boffa,GN,10.1667,-14.0333,74.5,94,100,2.42,overcast clouds
324,Abong Mbang,CM,3.9833,13.1833,66.76,97,99,3.29,overcast clouds
325,Shimoda,JP,34.6667,138.95,76.1,75,95,6.96,overcast clouds
326,Labuhan,ID,-6.8844,112.2051,86.38,52,21,1.66,few clouds
327,Nuuk,GL,64.1835,-51.7216,43.41,100,100,6.91,fog
328,Namatanai,PG,-3.6667,152.4333,85.33,64,96,2.51,overcast clouds
329,Machilipatnam,IN,16.1667,81.1333,80.55,84,99,11.39,moderate rain
330,Kieta,PG,-6.2167,155.6333,84.69,63,100,6.42,overcast clouds
331,Bereznik,RU,62.8551,42.7072,69.46,67,7,5.08,clear sky
332,Gornozavodsk,RU,58.3758,58.3211,70.23,60,74,2.77,broken clouds
333,Westport,US,41.1415,-73.3579,79.09,90,0,6.91,clear sky
334,Sitka,US,57.0531,-135.33,58.89,88,100,5.75,light rain
335,Yenagoa,NG,4.9247,6.2642,72.1,89,100,3.85,overcast clouds
336,La Plata,AR,-34.9215,-57.9545,50.02,73,0,6.4,clear sky
337,Bria,CF,6.5423,21.9863,68.23,97,95,2.26,overcast clouds
338,Genhe,CN,50.7833,121.5167,76.73,36,34,11.12,scattered clouds
339,Raudeberg,NO,61.9875,5.1352,48.96,61,100,9.33,light rain
340,Kamarion,GR,36.8,25.8167,74.08,80,0,16.02,clear sky
341,Naryan-Mar,RU,67.6713,53.087,65.95,68,99,10.38,overcast clouds
342,Broken Hill,AU,-31.95,141.4333,59.72,33,1,22.95,clear sky
343,Torquay,GB,50.4638,-3.5143,53.92,81,99,1.99,overcast clouds
344,Pacific Grove,US,36.6177,-121.9166,64.51,83,100,8.05,overcast clouds
345,Ulaangom,MN,49.9811,92.0667,66.0,37,6,8.32,clear sky
346,Sorland,NO,67.667,12.6934,53.46,89,94,27.76,overcast clouds
